"bez";"spr";"spr24"
10;"10111";"10111"
18;"18033";"18033"
6;"06007";"06007"
23;"23069";"23069"
22;"22077";"22077"
10;"10107";"10107"
14;"14063";"14066"
21;"21049";"21049"
13;"13029";"13028"
10;"10098";"10098"
9;"09015";"09015"
21;"21065";"21065"
22;"22150";"22150"
20;"20033";"20033"
21;"21048";"21048"
10;"10002";"10002"
11;"11050";"11050"
20;"20035";"20035"
5;"05016";"05016"
23;"23102";"23102"
2;"02014";"02014"
13;"13036";"13033"
7;"07025";"07025"
21;"21124";"21124"
20;"20002";"20002"
12;"12027";"12027"
3;"03055";"03055"
16;"16041";"16041"
14;"14031";"14050"
21;"21089";"21089"
9;"09013";"09013"
2;"02011";"02011"
13;"13038";"13022"
20;"20044";"20044"
18;"18010";"18010"
22;"22030";"22030"
22;"22078";"22065"
12;"12066";"12066"
10;"10135";"10135"
19;"19006";"19006"
8;"08011";"08011"
23;"23043";"23043"
17;"17012";"17038"
12;"12060";"12060"
15;"15010";"15010"
22;"22089";"22089"
23;"23063";"23063"
23;"23027";"23027"
5;"05022";"05022"
21;"21009";"21009"
21;"21034";"21034"
5;"05035";"05035"
12;"12038";"12038"
22;"22036";"22036"
13;"13026";"13013"
21;"21086";"21086"
23;"23098";"23098"
11;"11004";"11001"
16;"16027";"16027"
12;"12058";"12058"
17;"17007";"17007"
22;"22117";"22117"
11;"11042";"11042"
21;"21101";"21101"
19;"19021";"19065"
19;"19035";"19035"
12;"12036";"12036"
3;"03053";"03053"
16;"16062";"16062"
21;"21037";"21037"
3;"03018";"03018"
19;"19037";"19037"
14;"14045";"14058"
23;"23075";"23075"
21;"21003";"21003"
12;"12049";"12049"
12;"12009";"12009"
11;"11045";"11045"
18;"18024";"18024"
12;"12013";"12013"
5;"05031";"05031"
22;"22115";"22164"
21;"21008";"21008"
6;"06027";"06027"
14;"14058";"14063"
11;"11047";"11047"
3;"03059";"03059"
21;"21028";"21028"
11;"11034";"11034"
17;"17003";"17003"
19;"19059";"19059"
22;"22123";"22123"
18;"18020";"18020"
23;"23044";"23046"
18;"18036";"18036"
11;"11057";"11057"
12;"12059";"12059"
20;"20049";"20049"
9;"09024";"09024"
8;"08019";"08019"
21;"21006";"21006"
14;"14038";"14048"
17;"17032";"17032"
10;"10008";"10008"
12;"12061";"12061"
12;"12024";"12024"
3;"03023";"03072"
18;"18034";"18034"
14;"14033";"14038"
23;"23004";"23004"
14;"14059";"14064"
21;"21054";"21054"
4;"04005";"04005"
16;"16017";"16017"
22;"22043";"22157"
22;"22022";"22022"
21;"21017";"21017"
22;"22153";"22153"
10;"10104";"10104"
5;"05023";"05023"
19;"19034";"19034"
11;"11054";"11054"
8;"08006";"08006"
10;"10126";"10126"
9;"09003";"09003"
17;"17006";"17006"
23;"23073";"23073"
15;"15041";"15041"
7;"07026";"07026"
10;"10139";"10141"
5;"05019";"05019"
15;"15046";"15046"
19;"19028";"19028"
11;"11018";"11018"
15;"15028";"15028"
23;"23086";"23086"
9;"09002";"09002"
10;"10070";"10070"
22;"22052";"22052"
19;"19012";"19012"
23;"23101";"23101"
14;"14066";"14071"
10;"10112";"10112"
10;"10140";"10142"
11;"11009";"11009"
11;"11072";"11072"
20;"20028";"20028"
22;"22063";"22063"
14;"14057";"14062"
11;"11051";"11051"
22;"22007";"22007"
12;"12020";"12008"
21;"21122";"21122"
8;"08022";"08022"
12;"12052";"12052"
18;"18013";"18013"
